FECHA,HORA,"PACKAGE ID",CLIENT,CONTACT,ADDREESS,CITY,STATE,"ZIP CODE",WEIGHT,ROUTE
09-09-2022,17:29:39,84670517535,"Sara Roberts","(819) 530-7536","246 Mott St #14","New York",NY,10012,2,Y4B
09-09-2022,17:29:39,84670517611,"Dustin Morgan","(207) 524-1397","246 Mott St #14","New York",NY,10012,3,Y4B
09-09-2022,17:29:39,84670517609,"Pearl Wheeler","(374) 613-5997","246 Mott St #14","New York",NY,10012,9,Y4B
09-09-2022,17:29:39,84670517610,"Carlos Gonzalez","(648) 475-8664","246 Mott St #14","New York",NY,10012,13,Y4B
09-09-2022,17:29:39,84670517605,"Ophelia Harper","(675) 521-5981","246 Mott St #14","New York",NY,10012,7,Y4B
09-09-2022,17:29:39,84670517599,"Darrell Jennings","(614) 529-2468","246 Mott St #14","New York",NY,10012,11,Y4B
09-09-2022,17:29:39,84670517601,"Emily Wallace","(656) 920-6426","246 Mott St #14","New York",NY,10012,20,Y4B
09-09-2022,17:29:39,84670517607,"Winnie Drake","(873) 576-3504","246 Mott St #14","New York",NY,10012,14,Y4B
09-09-2022,17:29:39,84670517604,"Vernon Perkins","(371) 457-9120","246 Mott St #14","New York",NY,10012,9,Y4B
09-09-2022,17:29:39,84670517595,"Josie Graves","(483) 488-8818","246 Mott St #14","New York",NY,10012,6,Y4B
09-09-2022,17:29:39,84670517600,"Glen Lynch","(425) 586-1133","246 Mott St #14","New York",NY,10012,19,Y4B
09-09-2022,17:29:39,84670517608,"Lucy Gonzalez","(653) 399-2488","246 Mott St #14","New York",NY,10012,1,Y4B
09-09-2022,17:29:39,84670517602,"Jon Curtis","(931) 217-7537","246 Mott St #14","New York",NY,10012,1,Y4B
09-09-2022,17:29:39,84670517606,"Dorothy Peters","(784) 667-6772","246 Mott St #14","New York",NY,10012,10,Y4B
09-09-2022,17:29:39,84670517594,"Max Griffin","(742) 418-9133","246 Mott St #14","New York",NY,10012,10,Y4B
09-09-2022,17:29:39,84670517598,"Calvin McCarthy","(839) 337-1419","246 Mott St #14","New York",NY,10012,8,Y4B
09-09-2022,17:29:39,84670517593,"Olivia Jackson","(743) 552-9785","246 Mott St #14","New York",NY,10012,10,Y4B
09-09-2022,17:29:39,84670517592,"Jeffrey May","(604) 709-6334","246 Mott St #14","New York",NY,10012,20,Y4B
09-09-2022,17:29:39,84670517591,"Herman Garrett","(752) 367-6973","246 Mott St #14","New York",NY,10012,20,Y4B
09-09-2022,17:29:39,84670517596,"Justin Reeves","(749) 509-3601","246 Mott St #14","New York",NY,10012,13,Y4B
09-09-2022,17:29:39,84670517585,"Lou Baker","(723) 262-1398","246 Mott St #14","New York",NY,10012,20,Y4B
09-09-2022,17:29:39,84670517603,"Dean Lloyd","(384) 685-4523","246 Mott St #14","New York",NY,10012,18,Y4B
09-09-2022,17:29:39,84670517586,"Chris Murray","(859) 236-4741","246 Mott St #14","New York",NY,10012,6,Y4B
09-09-2022,17:29:39,84670517588,"Melvin Lindsey","(551) 846-4182","246 Mott St #14","New York",NY,10012,11,Y4B
09-09-2022,17:29:39,84670517590,"Duane Hughes","(543) 209-5589","246 Mott St #14","New York",NY,10012,13,Y4B
09-09-2022,17:29:39,84670517589,"Jeanette Perez","(450) 417-3310","246 Mott St #14","New York",NY,10012,16,Y4B
09-09-2022,17:29:39,84670517583,"Cody McKenzie","(964) 337-6121","246 Mott St #14","New York",NY,10012,1,Y4B
09-09-2022,17:29:39,84670517577,"Adele Martinez","(774) 448-8772","246 Mott St #14","New York",NY,10012,15,Y4B
09-09-2022,17:29:39,84670517582,"Helena Lowe","(815) 800-5351","246 Mott St #14","New York",NY,10012,9,Y4B
09-09-2022,17:29:39,84670517587,"Bessie Peters","(421) 541-7751","246 Mott St #14","New York",NY,10012,19,Y4B
09-09-2022,17:29:39,84670517597,"Ricky Owens","(448) 828-9435","246 Mott St #14","New York",NY,10012,2,Y4B
09-09-2022,17:29:39,84670517581,"Callie Santiago","(414) 994-4620","246 Mott St #14","New York",NY,10012,2,Y4B
09-09-2022,17:29:39,84670517580,"Betty Frank","(310) 929-1152","246 Mott St #14","New York",NY,10012,19,Y4B
09-09-2022,17:29:39,84670517570,"Bobby Bowers","(857) 855-2425","246 Mott St #14","New York",NY,10012,9,Y4B
09-09-2022,17:29:39,84670517578,"Katharine Nelson","(972) 621-3233","246 Mott St #14","New York",NY,10012,9,Y4B
09-09-2022,17:29:39,84670517579,"Jay Love","(561) 868-1040","246 Mott St #14","New York",NY,10012,3,Y4B
09-09-2022,17:29:39,84670517571,"Annie Freeman","(952) 629-1488","246 Mott St #14","New York",NY,10012,3,Y4B
09-09-2022,17:29:39,84670517569,"Derek Taylor","(281) 376-3981","246 Mott St #14","New York",NY,10012,2,Y4B
09-09-2022,17:29:39,84670517584,"Marvin Parsons","(413) 387-1729","246 Mott St #14","New York",NY,10012,16,Y4B
09-09-2022,17:30:39,84670517565,"Gary Carr","(257) 247-3697","246 Mott St #14","New York",NY,10012,3,Y4B
